"","results"
"384","Here are the extracted details:

1. **Kampong**:
	* Serasa (village in Brunei)
2. **Price**:
	* $120,000.00
3. **Type**:
	* Bungalow
4. **Storey**:
	* Single storey
5. **Status**:
	* Under construction
6. **Land size**:
	* Not mentioned (assuming it's a standard plot size)
7. **Floor size**:
	* Not mentioned (assuming it's a standard floor area)
8. **Beds**:
	* 4 rooms (implying 4 bedrooms, but not explicitly stated)
9. **Baths**:
	* 2 toilets (implying 2 bathrooms, but not explicitly stated)
10. **Land type**:
	* Kekal
11. **Additional remark**:
	* Terrace, middle unit, B location"
"385","Here are the extracted details:

**Kampong:**
- Kampong: Kilanas-Mulaut (left)

**Price:**
- Price: B$343,000.00
- Price is negotiable

**Type:**
- Type: Semi-detached house

**Storey:**
- Storey: Double storey

**Status:**
- Status: Ready to move in (for 1 unit) and under-construction (for other units)

**Land Size:**
- Land size: 
  - Unit 1: 0.089ac
  - Unit 2: 0.109ac (no mention of land size for the remaining units)

**Floor Size:**
- Floor size: Approximately 2551 sqft

**Beds and Baths:**
- Beds: 4 bedrooms
- Baths: 4 toilets (assuming bathrooms, as no distinction is made between toilets and baths in the text)

**Land Type:**
- Land type: Kekal

**Additional Remarks:**
- Each unit includes:
  - Build-in cabinet for kitchen
  - Wardrobe for master bedroom
  - Flooring for first floor bedrooms
  - Water tank
  - Water pump"
"386","Here are the extracted details:

* **Kampong:** Jerudong
* **Price:**
	+ First floor unit: $500/month (less) - $400/month (nett)
	+ Second floor unit: $450/month (less) - $350/month (nett)
* **Type:**
	+ Apartment (1st floor), Bungalow (2nd floor, unfurnished but can provide beds)
	+ Semi-detached (mentioned as ""but can provide beds 2 room"")
* **Storey:** Single storey (first floor unit), double storey (second floor unit)
* **Status:** Existing/already built
* **Land_size:** Not mentioned
* **Floor_size:**
	+ First floor unit: not specified, but includes 1 living room, 1 kitchen, and a balcony
	+ Second floor unit: not specified, but includes 1 living room, 1 kitchen, and 2 bedrooms (unfurnished)
* **Beds:** 3 beds (1 master bedroom + 2 other rooms can provide beds)
* **Baths:** 1 bathroom
* **Land_type:** Leasehold
* **Additional Remark:**
	+ Furnished first floor unit available for long term rental
	+ Unfurnished second floor unit available for long term rental, but can provide beds if needed"
"387","Here are the extracted details:

**Kampong:**
None mentioned (as it seems to be a specific location in Brunei)

**Price:**

* Corner unit: B$270,000
* Middle unit: B$260,000

**Type:**

* Double storey terrace house
* Not among the listed options (apartment, bungalow, detached, semi-detached)

**Storey:**
Double storey

**Status:**
Ready to move in (no mention of new, proposed, or under-construction)

**Land_size:**

* Corner unit: 0.0851ac
* Middle unit: 0.0484ac

**Floor_size:**
2,404.29 sq ft (not floor size, but possibly total floor area?)

**Beds:**
4 rooms (assuming bedrooms)

**Baths:**
3 toilets (assuming bathrooms)

**Land_type:**
Kekal (leasehold or perpetual land title)

**Additional Remark:**

* Ready to move in
* Middle unit
* Corner unit

Note that some of the details, such as ""type"", are not directly applicable to the description provided. The description is more specific and does not fit neatly into the categories listed."
"388","Here are the extracted details:

1. **kampong**:
	* Tg Bunut Kekal
2. **price**:
	* B$420,000.00 (Brunei dollars)
3. **type**:
	* Detached house
4. **storey**:
	* Double storey
5. **status**:
	* Ready to move in (new)
6. **land_size**:
	* 0.24 acres
7. **floor_size**: 
	* Not explicitly mentioned, but since it's a double storey detached house, we can assume there are at least two floors.
8. **beds**:
	* Not explicitly mentioned, but based on the description, likely 3-4 bedrooms (common for a typical Bruneian family)
9. **baths**:
	* Not explicitly mentioned, but likely 2-3 bathrooms
10. **land_type**:
	* Kekal
11. **Additional Remark**:
	* The house is located at Tg Bunut Kekal and ready for immediate occupation."
"389","Here are the extracted details:

1. **kampong**: Jangsak
2. **price**: $458,000.00 (negotiable)
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **storey**: Double storey
5. **status**: Ready move-in (new)
6. **land_size**: 0.152 acres
7. **floor_size**: 2913 sq ft
8. **beds**: 4 rooms (assuming bedrooms, not explicitly stated as beds)
9. **baths**: 3 toilets (assuming bathrooms, not explicitly stated as baths)
10. **land_type**: Kekal (a type of land tenure in Brunei)
11. **Additional Remark**:
	* Ready move-in
	* Negotiable price"
"390","Here are the extracted details:

**1. kampong:**
- The kampong (village in Brunei) mentioned is **Tutong, Birau Kiudang**.

**2. price:**
- The price of the land for sale is $65k (approximately).

**3. type:**
- No specific property type was mentioned, but the context suggests it's a land plot for sale.

**4. storey:**
- No information about the number of storeys was provided in the caption.

**5. status:**
- The property is **for sale**, with no mention of new, proposed, or under-construction status.

**6. land_size:**
- The land size is approximately 0.3 ekar ( equivalent to 0.12 hectares).

**7. floor_size:**
- No information about the floor size was provided in the caption.

**8. beds:**
- Not applicable, as it's a plot of land for sale.

**9. baths:**
- Not applicable, as it's a plot of land for sale.

**10. land_type:**
- The type of land ownership is **Kekal (In perpetuity)**.

**11. Additional Remark:**
- The caption mentions that the property has trees (**pokok-pokok**) on it, which may be considered a factor in its sale.
- There are no other details mentioned about the property in the provided text."
"391","Here are the extracted details:

1. **Kampong**:
	* Sg Tilong
2. **Price**: $377,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes (double storey)
	* Semi-detached: Not mentioned
4. **Storey**:
	* Double Storey
5. **Status**: Under-construction
6. **Land_size**: 0.0994 acres
7. **Floor_size**: 3,000 sqft
8. **Beds**: 5 rooms (assuming 5 bedrooms)
9. **Baths**: 5 toilets (assuming 5 bathrooms)
10. **Land_type**:
	* Leasehold: Not mentioned
	* In perpetuity: Yes (Kekal)
11. **Additional Remark**:
	* Double storey detached house
	* Under construction"
"392","Here are the extracted details:

**Kampong:**
None mentioned.

**Price:**
$199,000 - $228,000 (two price ranges)

**Type:**
- Detached
- Bungalow

**Storey:**
Single storey

**Status:**
New (nearly completed) or Proposed (not specified which one is proposed)

**Land_size:**
0.125 acres - 0.189 acres

**Floor_size:**
1,370 sq ft - 1,425 sq ft

**Beds:**
3 rooms (implying 3 bedrooms, but not explicitly stated)

**Baths:**
2 toilets (implying 2 bathrooms, but not explicitly stated)

**Land_type:**
Kekal (in perpetuity)

**Additional Remark:**
- Only two units left
- Located at Lumapas"
"393","Here are the extracted details:

* **Kampong:** Kiarong
* **Price:** $395,000.00
* **Type:**
	+ Apartment: No
	+ Bungalow: No
	+ Detached: No
	+ Semi-detached: Yes
* **Storey:** 3 storeys
* **Status:** Existing (not new, proposed, or under-construction)
* **Land_size:** 0.109 acres
* **Floor_size:** 3896 sqft
* **Beds:** 7 rooms (implied to be bedrooms)
* **Baths:** 6 toilets (implied to be bathrooms)
* **Land_type:** Kekal
* **Additional Remark:**
	+ Left 1 unit remaining
	+ Leasehold: No, kekal means in perpetuity
	+ Price of $395,000.00 is mentioned"
"394","Here are the extracted details:

**kampong:** 
- Kampong: Sg Tampoi (village in Brunei)

**price:** 
- Price: $261,000 / $289,200

**type:** 
- Type: Double storey terrace house
- - No apartments, bungalows, detached or semi-detached mentioned

**storey:** 
- Storey: Double storey

**status:** 
- Status: Completed (not new, proposed or under-construction)

**land_size:** 
- Land size: 0.0566 acres / 0.1079 acres (both likely referring to the same plot of land)

**floor_size:** 
- Floor size: 2892 sq ft

**beds:** 
- Number of bedrooms: 4 rooms

**baths:** 
- Number of bathrooms: 4 toilets

**land_type:** 
- Land type: Kekal (in perpetuity)

**Additional Remark:** 
- Remaining details:
  - Completed
  - 0.0566ac / 0.1079ac (likely referring to the same plot of land)
  - B (no further information provided)"
"395","Here are the extracted details:

1. **Kampong:** Subok (village in Brunei)
2. **Price:** B$500,000.00
3. **Type:**
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey:** Double storey
5. **Status:** Ready to move in (implied new)
6. **Land_size:** Not mentioned
7. **Floor_size:** Not mentioned
8. **Beds:** Not mentioned (but likely 3-4 bedrooms, typical for a double storey detached house)
9. **Baths:** Not mentioned (but likely 2-3 bathrooms, typical for a double storey detached house)
10. **Land_type:** Leasehold (implied, but not explicitly stated)
11. **Additional Remark:**
	* Ready to move in
	* Contact number: 8771110
12. **Caption:** 'double storey detached house at Subok ready to move in B$500,000.00...'"
"396","Here are the extracted details:

* **Kampong:** Lambak
* **Price:** $270,000.00 (BND)
* **Type:** Semi-detached
* **Storey:** Double storey
* **Status:** Ready to move in
* **Land_size:** Not mentioned
* **Floor_size:** Not mentioned
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** Not mentioned
* **Land_type:** Leasehold
* **Additional Remark:**
	+ Ready to move in
	+ 4 rooms"
"397","Here are the extracted details:

* **Kampong:** Dadap Kekal
* **Price:** 
	+ Lower price: $268,000
	+ Upper price: $288,000
* **Type:**
	+ Apartment (not mentioned)
	+ Bungalow (not mentioned)
	+ Detached (not mentioned)
	+ Semi-detached (mentioned)
* **Storey:** Double storey
* **Status:** Under-construction
* **Land_size:**
	+ Lower land size: 0.081ac
	+ Upper land size: 0.138ac
* **Floor_size:** 2900 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 4 toilets (assuming bathrooms)
* **Land_type:** Kekal
* **Additional Remark:** None mentioned"
"398","Here are the extracted details:

1. **Kampong**:
	* Junjungan (village in Brunei)
2. **Price**:
	* Original price: $175,000
	* Current price (offer): $155,000
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
	* Proposed terrace units
4. **Storey**:
	* Not specified (but implied to be a single-storey as it's described as ""terrace units"")
5. **Status**:
	* Proposed
6. **Land Size**:
	* 0.06 acres
7. **Floor Size**:
	* 2300 sqft
8. **Beds**:
	* 4 rooms (implied to be bedrooms)
9. **Baths**:
	* 3 toilets (implied to be bathrooms)
10. **Land Type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* Big veranda
	* Front view facing the street
12. **Offer Period**:
	* Until August 29th only"
"399","Here are the extracted details:

1. **Kampong**: Tg Nangka
2. **Price**: B$208,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: No mention
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land_size**: 0.070ac (approximately 7,100 sq ft)
7. **Floor_size**: 1,880 sq ft
8. **Beds**: 4 rooms (assuming 4 bedrooms)
9. **Baths**: 3 toilets (assuming 3 bathrooms)
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Remaining details not specified.
12. **Caption**: Double storey semi-detached house at Tg Nangka"
"400","Here are the extracted details:

* **Kampong:** Tg Nangka
* **Price:** $245,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.08 acres (or approximately 3,231 sqft)
* **Floor_size:** 1205 sqft
* **Beds:** 4 bedrooms
* **Baths:** 4 toilets
* **Land_type:** Kekal (In perpetuity)
* **Additional Remark:**
	+ Proposed: The property is proposed.
	+ Remaining details not explicitly stated."
"401","Here are the extracted details:

* **Kampong:** Lempaki Mulaut
* **Price:** $273k and $283k (two prices mentioned)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes, a semi-detached house is mentioned
* **Storey:** Two storey
* **Status:** Ready to move in (new)
* **Land Size:** 0.070 acres and 0.108 acres (two sizes mentioned)
* **Floor Size:** 1,950 sq ft
* **Beds:** 4 bedrooms
* **Baths:** 3 bathrooms
* **Land Type:** Kekal (land type mentioned as kekal)
* **Additional Remark:**
	+ Two units left (remaining details)
	+ Ready to move in"
"402","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: B$328,000.00
3. **Type**:
	* Apartment: No mention (but apartment is not mentioned)
	* Bungalow: No mention
	* Detached: No mention
	* Semi-detached: Yes
4. **Storey**: Single storey (implied by ""semi detached house"")
5. **Status**: New (or at least being sold as new, possibly previously under-construction or proposed)
6. **Land_size**: Not mentioned explicitly
7. **Floor_size**: Not mentioned explicitly
8. **Beds**: Number of bedrooms not mentioned
9. **Baths**: Number of bathrooms not mentioned
10. **Land_type**: Leasehold (implied by the context, but not explicitly stated)
11. **Additional Remark**: None specific to this property"
"403","Here are the extracted details:

1. **Kampong**: Bengkurong
2. **Price**: $285,000 - $295,000
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land Size**: 0.111ac - 0.130ac
7. **Floor Size**: 2,800 sqft
8. **Beds**: 5 rooms (assuming bedrooms)
9. **Baths**: 5 toilets (assuming bathrooms)
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Double storey
	* Detached house
12. **Caption**: 'double storey detached house'"
"404","Here are the extracted details:

* **Kampong**: Sg Tilong (village in Brunei)
* **Price**: Not explicitly mentioned, but mentioned as ""for rent $1800 per month""
* **Type**:
	+ Apartment: None
	+ Bungalow: None
	+ Detached: None
	+ Semi-Detached: Yes
* **Storey**: Single storey (implied by ""semi detached"")
* **Status**: Proposed or under-construction (can't be determined from the given information)
* **Land_size**: Not mentioned
* **Floor_size**: Not explicitly mentioned, but likely related to the floor area of the semi-detached unit
* **Beds**: Not mentioned
* **Baths**: Not mentioned
* **Land_type**: Leasehold (implied by the fact that it's for rent)
* **Additional Remark**: The remaining details are not provided in the given snippet."
"405","Here are the extracted details:

**Kampong:**
Not mentioned explicitly, but based on the context and location of Sungai Keluasan (which is a kampong in Brunei), it can be inferred that the kampong is likely Sungai Keluasan.

**Price Details:**
- The price starts from $0.15 per sqft for land size 0.2ekar
- Incrementing prices are mentioned, but no maximum or specific sizes are given beyond 1 ekar at $70k

**Type:**
Not mentioned explicitly

**Storey:**
Not mentioned explicitly

**Status:**
For sale (tanah untuk di jual)

**Land Size:**

- Starting size: 0.2ekar
- Maximum size: 5.01ekars, or up to 1 ekar for a higher price ($70k)
- Adjustable sizes available upon request (keluasannya mengikut keperluan pembeli)

**Floor Size:**
Not mentioned explicitly

**Beds:**
Not mentioned explicitly

**Baths:**
Not mentioned explicitly

**Land Type:**

- Kekal (in perpetuity)

**Additional Remark:**

- The land is flat (inda bebukit)
- The seller is willing to adjust the size according to buyer's needs
- Additional details on pricing are provided for different sizes of land purchase"
